央卫频道,#genre#
推流线路,#genre#
4K电影,http://45.192.97.170:8880/play/142.m3u8
动作电影,http://45.192.97.170:8880/play/143.m3u8
家庭影院,http://45.192.97.170:8880/play/144.m3u8
影迷电影,http://45.192.97.170:8880/play/145.m3u8
凤凰资讯,http://45.192.97.170:8880/play/146.m3u8
凤凰中文,http://45.192.97.170:8880/play/147.m3u8
凤凰香港,http://45.192.97.170:8880/play/148.m3u8
广东体育,http://45.192.97.170:8880/play/149.m3u8
广东珠江,http://45.192.97.170:8880/play/150.m3u8
广东新闻,http://45.192.97.170:8880/play/151.m3u8
TVB星河,http://45.192.97.170:8880/play/152.m3u8
动物星球,http://45.192.97.170:8880/play/153.m3u8
东森电影,http://45.192.97.170:8880/play/154.m3u8
澳门莲花,http://45.192.97.170:8880/play/155.m3u8
八大娱乐,http://45.192.97.170:8880/play/156.m3u8
韩国娱乐,http://45.192.97.170:8880/play/157.m3u8
频道测试,#genre#
TVB星河,http://45.192.97.170:8880/play/158.m3u8
动物星球,http://45.192.97.170:8880/play/159.m3u8
东森财经,http://45.192.97.170:8880/play/160.m3u8
澳门莲花,http://45.192.97.170:8880/play/161.m3u8
八大娱乐,http://45.192.97.170:8880/play/162.m3u8
凤凰香港,http://45.192.97.170:8880/play/163.m3u8
凤凰中文,http://45.192.97.170:8880/play/164.m3u8
凤凰资讯,http://45.192.97.170:8880/play/165.m3u8
广东珠江,http://45.192.97.170:8880/play/166.m3u8
广东影视,http://45.192.97.170:8880/play/167.m3u8
东森洋片,http://45.192.97.170:8880/play/168.m3u8
测试21,http://45.192.97.170:8880/play/169.m3u8
韩国娱乐,http://45.192.97.170:8880/play/170.m3u8
精-彩-YY,#genre#
武林外传,http://45.192.97.170:8880/play/171.m3u8
港片 喜剧 动作,http://45.192.97.170:8880/play/172.m3u8
林正英-经典电影,http://45.192.97.170:8880/play/173.m3u8
【新三国】萌儿陪看,http://45.192.97.170:8880/play/174.m3u8
国外经典—小鬼当家,http://45.192.97.170:8880/play/175.m3u8
狂飙,http://45.192.97.170:8880/play/176.m3u8
靓剑,http://45.192.97.170:8880/play/177.m3u8
弹幕天团 下饭神剧,http://45.192.97.170:8880/play/178.m3u8
狄仁杰,http://45.192.97.170:8880/play/179.m3u8
赵本山《蓝光版》,http://45.192.97.170:8880/play/180.m3u8
少年包青天,http://45.192.97.170:8880/play/181.m3u8
康熙微服私访记,http://45.192.97.170:8880/play/182.m3u8
超精彩武打场景,http://45.192.97.170:8880/play/183.m3u8
正阳门下,http://45.192.97.170:8880/play/184.m3u8
鹿鼎记-周星驰版,http://45.192.97.170:8880/play/185.m3u8
地下交通站,http://45.192.97.170:8880/play/186.m3u8
亲爱的热爱的,http://45.192.97.170:8880/play/187.m3u8
经典鬼片3000部,http://45.192.97.170:8880/play/188.m3u8
【狂飙】,http://45.192.97.170:8880/play/189.m3u8
林正英经典,http://45.192.97.170:8880/play/190.m3u8
豪哥带我们发财,http://45.192.97.170:8880/play/191.m3u8
经典港片动作搞笑,http://45.192.97.170:8880/play/192.m3u8
纪晓岚,http://45.192.97.170:8880/play/193.m3u8
晾剑 电视剧,http://45.192.97.170:8880/play/194.m3u8
小蓉儿 正在直播,http://45.192.97.170:8880/play/195.m3u8
神医喜来乐,http://45.192.97.170:8880/play/196.m3u8
梦涵 正在直播,http://45.192.97.170:8880/play/197.m3u8
昕儿 正在直播,http://45.192.97.170:8880/play/198.m3u8
济公,http://45.192.97.170:8880/play/199.m3u8
倚天屠龙记,http://45.192.97.170:8880/play/200.m3u8
请回答1988,http://45.192.97.170:8880/play/201.m3u8
天龙八部,http://45.192.97.170:8880/play/202.m3u8
真实案件系列,http://45.192.97.170:8880/play/203.m3u8
大染坊,http://45.192.97.170:8880/play/204.m3u8
赌神 港片 喜剧,http://45.192.97.170:8880/play/205.m3u8
封神榜,http://45.192.97.170:8880/play/206.m3u8
古惑仔,http://45.192.97.170:8880/play/207.m3u8
雍正王朝,http://45.192.97.170:8880/play/208.m3u8
李连杰功夫 经典武侠,http://45.192.97.170:8880/play/209.m3u8
赵本山《超清版》,http://45.192.97.170:8880/play/210.m3u8
鬼经典老片,http://45.192.97.170:8880/play/211.m3u8
小美美 正在直播,http://45.192.97.170:8880/play/212.m3u8
《仙侠》开局无敌了,http://45.192.97.170:8880/play/213.m3u8
燕双鹰,http://45.192.97.170:8880/play/214.m3u8
【鹿鼎记】金庸经典,http://45.192.97.170:8880/play/215.m3u8
恐怖电影,http://45.192.97.170:8880/play/216.m3u8
闯关东,http://45.192.97.170:8880/play/217.m3u8
经典雪豹24h,http://45.192.97.170:8880/play/218.m3u8
大家车言论,http://45.192.97.170:8880/play/219.m3u8
靓剑,http://45.192.97.170:8880/play/220.m3u8
纪晓岚,http://45.192.97.170:8880/play/221.m3u8
经典电影 港片枪战,http://45.192.97.170:8880/play/222.m3u8
动漫,http://45.192.97.170:8880/play/223.m3u8
动漫,http://45.192.97.170:8880/play/224.m3u8
内在美-伊人有约,http://45.192.97.170:8880/play/225.m3u8
YY用户,http://45.192.97.170:8880/play/226.m3u8
YY用户,http://45.192.97.170:8880/play/227.m3u8
正阳门下,http://45.192.97.170:8880/play/228.m3u8
精武英雄-李连杰主演经典动作片,http://45.192.97.170:8880/play/229.m3u8
�逋鞠盗�-国产喜剧,http://45.192.97.170:8880/play/230.m3u8
神探狄仁杰2,http://45.192.97.170:8880/play/231.m3u8
士兵突击,http://45.192.97.170:8880/play/232.m3u8
大话西游至尊宝,http://45.192.97.170:8880/play/233.m3u8
进来 陪你看动漫,http://45.192.97.170:8880/play/234.m3u8
大秧歌~24h经典好剧,http://45.192.97.170:8880/play/235.m3u8
伪装者,http://45.192.97.170:8880/play/236.m3u8
情满四合院-小人物的悲欢离合,http://45.192.97.170:8880/play/237.m3u8
赌神-发哥,http://45.192.97.170:8880/play/238.m3u8
欢乐集结号-每天笑不停,http://45.192.97.170:8880/play/239.m3u8
西游记后传 蓝光,http://45.192.97.170:8880/play/240.m3u8
朵宝陪你看狄仁杰,http://45.192.97.170:8880/play/241.m3u8
少年歌行1.2~,http://45.192.97.170:8880/play/242.m3u8
老九门24h,http://45.192.97.170:8880/play/243.m3u8
鹿鼎记-高清全集,http://45.192.97.170:8880/play/244.m3u8
笑傲江湖 4K超清,http://45.192.97.170:8880/play/245.m3u8
宰相刘罗锅,http://45.192.97.170:8880/play/246.m3u8
24h 我爱我家 喜剧,http://45.192.97.170:8880/play/247.m3u8
铁齿铜牙纪晓岚,http://45.192.97.170:8880/play/248.m3u8
鬼片喜剧动作港剧,http://45.192.97.170:8880/play/249.m3u8
老妖私影院,http://45.192.97.170:8880/play/250.m3u8
超清鬼片 港片,http://45.192.97.170:8880/play/251.m3u8
天龙 神雕金庸,http://45.192.97.170:8880/play/252.m3u8
神探狄胖胖,http://45.192.97.170:8880/play/253.m3u8
少年歌行,http://45.192.97.170:8880/play/254.m3u8
83射雕英雄传,http://45.192.97.170:8880/play/255.m3u8
金牌配角达叔系列,http://45.192.97.170:8880/play/256.m3u8
热度榜1.包青天,http://45.192.97.170:8880/play/257.m3u8
24h唐朝诡实录1234,http://45.192.97.170:8880/play/258.m3u8
【经典港片】佟瑶,http://45.192.97.170:8880/play/259.m3u8
好先生,http://45.192.97.170:8880/play/260.m3u8
超喜剧地下交通站男神贾贵,http://45.192.97.170:8880/play/261.m3u8
苹果工会招募主播,http://45.192.97.170:8880/play/262.m3u8
爆笑小品大合集,http://45.192.97.170:8880/play/263.m3u8
五号特工组和平ff,http://45.192.97.170:8880/play/264.m3u8
新白娘子传奇,http://45.192.97.170:8880/play/265.m3u8
燕双鹰,http://45.192.97.170:8880/play/266.m3u8
绝版僵尸鬼片,http://45.192.97.170:8880/play/267.m3u8
精彩动漫,http://45.192.97.170:8880/play/268.m3u8
天龙神雕经典回忆,http://45.192.97.170:8880/play/269.m3u8
1930年代经典电影,http://45.192.97.170:8880/play/270.m3u8
YY果国际电影频道,http://45.192.97.170:8880/play/271.m3u8
薛仁贵传奇,http://45.192.97.170:8880/play/272.m3u8
动漫,http://45.192.97.170:8880/play/273.m3u8
鬼片恐怖私家影院,http://45.192.97.170:8880/play/274.m3u8
《武林外传》武侠,http://45.192.97.170:8880/play/275.m3u8
【新三国】吕布,http://45.192.97.170:8880/play/276.m3u8
破案港剧,http://45.192.97.170:8880/play/277.m3u8
经典港片电影,http://45.192.97.170:8880/play/278.m3u8
【武林客栈】,http://45.192.97.170:8880/play/279.m3u8
战狼10086,http://45.192.97.170:8880/play/280.m3u8
【战狼3吴京】首播,http://45.192.97.170:8880/play/281.m3u8
【靓剑】乐乐陪看,http://45.192.97.170:8880/play/282.m3u8
情满四合院-高分电视剧,http://45.192.97.170:8880/play/283.m3u8
双月之城-国漫,http://45.192.97.170:8880/play/284.m3u8
电影电影电影电影电影电影,http://45.192.97.170:8880/play/285.m3u8
知否知否应是绿肥红瘦,http://45.192.97.170:8880/play/286.m3u8
三国演义【1994】,http://45.192.97.170:8880/play/287.m3u8
咸鱼动漫,http://45.192.97.170:8880/play/288.m3u8
张国荣与周润发的兄弟情,http://45.192.97.170:8880/play/289.m3u8
神探狄仁杰1,http://45.192.97.170:8880/play/290.m3u8
武林外传,http://45.192.97.170:8880/play/291.m3u8
神探狄仁杰1,http://45.192.97.170:8880/play/292.m3u8
恋歌,http://45.192.97.170:8880/play/293.m3u8
震撼！国内功夫大片,http://45.192.97.170:8880/play/294.m3u8
宰相刘罗锅,http://45.192.97.170:8880/play/295.m3u8
夏洛特烦恼-国内电影-喜剧,http://45.192.97.170:8880/play/296.m3u8
国内玄幻电影-林正英,http://45.192.97.170:8880/play/297.m3u8
变形金刚,http://45.192.97.170:8880/play/298.m3u8
少年包青天第三部,http://45.192.97.170:8880/play/299.m3u8
炊事班的故事III,http://45.192.97.170:8880/play/300.m3u8
速度与激情全集,http://45.192.97.170:8880/play/301.m3u8
读心神探,http://45.192.97.170:8880/play/302.m3u8
三国演义94年经典版,http://45.192.97.170:8880/play/303.m3u8
炊事班的故事II,http://45.192.97.170:8880/play/304.m3u8
神探狄仁杰2,http://45.192.97.170:8880/play/305.m3u8
YY用户,http://45.192.97.170:8880/play/306.m3u8
二号交通站,http://45.192.97.170:8880/play/307.m3u8
读心神探,http://45.192.97.170:8880/play/308.m3u8
寻秦记-穿越剧经典,http://45.192.97.170:8880/play/309.m3u8
动漫,http://45.192.97.170:8880/play/310.m3u8
欢乐颂,http://45.192.97.170:8880/play/311.m3u8
终结者2：审判日,http://45.192.97.170:8880/play/312.m3u8
情满四合院,http://45.192.97.170:8880/play/313.m3u8
YY用户,http://45.192.97.170:8880/play/314.m3u8
巩汉林春晚小品合集,http://45.192.97.170:8880/play/315.m3u8
国内动作大片,http://45.192.97.170:8880/play/316.m3u8
啊咧,http://45.192.97.170:8880/play/317.m3u8
我爱我家,http://45.192.97.170:8880/play/318.m3u8
快来呀好剧在等你,http://45.192.97.170:8880/play/319.m3u8
华子系列,http://45.192.97.170:8880/play/320.m3u8
安安电视剧,http://45.192.97.170:8880/play/321.m3u8
父母爱情,http://45.192.97.170:8880/play/322.m3u8
二号交通站,http://45.192.97.170:8880/play/323.m3u8
武工队传奇,http://45.192.97.170:8880/play/324.m3u8
国漫动漫,http://45.192.97.170:8880/play/325.m3u8
动漫,http://45.192.97.170:8880/play/326.m3u8
二号交通站,http://45.192.97.170:8880/play/327.m3u8
【破案 悬疑 港剧】,http://45.192.97.170:8880/play/328.m3u8
洪金宝福星系列,http://45.192.97.170:8880/play/329.m3u8
【周星驰】搞笑电影,http://45.192.97.170:8880/play/330.m3u8
经典抗战剧,http://45.192.97.170:8880/play/331.m3u8
进来 陪你看电视,http://45.192.97.170:8880/play/332.m3u8
国内喜剧,http://45.192.97.170:8880/play/333.m3u8
成龙系列,http://45.192.97.170:8880/play/334.m3u8
古装剧,http://45.192.97.170:8880/play/335.m3u8
少年包青天,http://45.192.97.170:8880/play/336.m3u8
军旅剧（回忆经典）,http://45.192.97.170:8880/play/337.m3u8
《石敢当》六耳猕猴,http://45.192.97.170:8880/play/338.m3u8
【新三国】日版,http://45.192.97.170:8880/play/339.m3u8
经典港片电影,http://45.192.97.170:8880/play/340.m3u8
雪中悍刀行,http://45.192.97.170:8880/play/341.m3u8
动漫《火影疾风传》,http://45.192.97.170:8880/play/342.m3u8
惊恐盗暮鬼怪,http://45.192.97.170:8880/play/343.m3u8
动漫,http://45.192.97.170:8880/play/344.m3u8
疯狂动漫 正在直播,http://45.192.97.170:8880/play/345.m3u8
24小时循环播电视剧,http://45.192.97.170:8880/play/346.m3u8
动漫,http://45.192.97.170:8880/play/347.m3u8
速度与激情系列！-精彩大片,http://45.192.97.170:8880/play/348.m3u8
欢乐一起看,http://45.192.97.170:8880/play/349.m3u8
天道-9.2高分好剧,http://45.192.97.170:8880/play/350.m3u8
大进军全集：红色系列电影,http://45.192.97.170:8880/play/351.m3u8
妖神记,http://45.192.97.170:8880/play/352.m3u8
新白娘子传奇-女神赵雅芝,http://45.192.97.170:8880/play/353.m3u8
郝蕾演绎-情满四合院,http://45.192.97.170:8880/play/354.m3u8
我的体育老师,http://45.192.97.170:8880/play/355.m3u8
YY用户,http://45.192.97.170:8880/play/356.m3u8
伪装者,http://45.192.97.170:8880/play/357.m3u8
法证先锋,http://45.192.97.170:8880/play/358.m3u8
抹茶少女,http://45.192.97.170:8880/play/359.m3u8
魔幻手机,http://45.192.97.170:8880/play/360.m3u8
漫威十年老粉福利来了,http://45.192.97.170:8880/play/361.m3u8
智取威虎山,http://45.192.97.170:8880/play/362.m3u8
大家都在看的电视剧,http://45.192.97.170:8880/play/363.m3u8
YY用户,http://45.192.97.170:8880/play/364.m3u8
院线动作大片,http://45.192.97.170:8880/play/365.m3u8
灌篮高手,http://45.192.97.170:8880/play/366.m3u8
经典大片合集,http://45.192.97.170:8880/play/367.m3u8
流行古装剧—知否知否应是绿肥红瘦,http://45.192.97.170:8880/play/368.m3u8
寻秦记,http://45.192.97.170:8880/play/369.m3u8
����������,http://45.192.97.170:8880/play/370.m3u8
寻秦记-穿越剧经典,http://45.192.97.170:8880/play/371.m3u8
妖神记-全集,http://45.192.97.170:8880/play/372.m3u8
情满四合院,http://45.192.97.170:8880/play/373.m3u8
这部剧你居然没看过？,http://45.192.97.170:8880/play/374.m3u8
少年包青天第三部,http://45.192.97.170:8880/play/375.m3u8
周星星系列,http://45.192.97.170:8880/play/376.m3u8
笑傲帮,http://45.192.97.170:8880/play/377.m3u8
老广的味道 第3季-美食纪录片,http://45.192.97.170:8880/play/378.m3u8
YY用户,http://45.192.97.170:8880/play/379.m3u8
YY用户,http://45.192.97.170:8880/play/380.m3u8
炊事班的故事,http://45.192.97.170:8880/play/381.m3u8
西游记后传,http://45.192.97.170:8880/play/382.m3u8
北京爱情故事，心动不打烊,http://45.192.97.170:8880/play/383.m3u8
宫锁珠帘,http://45.192.97.170:8880/play/384.m3u8
YY用户,http://45.192.97.170:8880/play/385.m3u8
我的前半生,http://45.192.97.170:8880/play/386.m3u8
你最爱的宋小宝,http://45.192.97.170:8880/play/387.m3u8
易中天品三国,http://45.192.97.170:8880/play/388.m3u8
真心想让你幸福,http://45.192.97.170:8880/play/389.m3u8
风筝,http://45.192.97.170:8880/play/390.m3u8
YY用户,http://45.192.97.170:8880/play/391.m3u8
以家人之名,http://45.192.97.170:8880/play/392.m3u8
仙剑奇侠传-神仙姐姐驾到,http://45.192.97.170:8880/play/393.m3u8
YY用户,http://45.192.97.170:8880/play/394.m3u8
小鬼当家-童年回忆,http://45.192.97.170:8880/play/395.m3u8
YY用户,http://45.192.97.170:8880/play/396.m3u8
复仇者联盟全季,http://45.192.97.170:8880/play/397.m3u8
史诗级科幻电影-阿凡达,http://45.192.97.170:8880/play/398.m3u8
无敌县令,http://45.192.97.170:8880/play/399.m3u8
穿越时空的爱恋,http://45.192.97.170:8880/play/400.m3u8
娆�涔�棰�,http://45.192.97.170:8880/play/401.m3u8
俺娘田小草,http://45.192.97.170:8880/play/402.m3u8
超精彩！系列动作电影,http://45.192.97.170:8880/play/403.m3u8
野山鹰-影视剧,http://45.192.97.170:8880/play/404.m3u8
甜甜的恋爱 这狗粮我吃了,http://45.192.97.170:8880/play/405.m3u8
大汉贤后卫子夫,http://45.192.97.170:8880/play/406.m3u8
欢乐集结号3,http://45.192.97.170:8880/play/407.m3u8
密子君,http://45.192.97.170:8880/play/408.m3u8
非常保镖-经典港剧,http://45.192.97.170:8880/play/409.m3u8
哈利波特全集,http://45.192.97.170:8880/play/410.m3u8
笑声传奇,http://45.192.97.170:8880/play/411.m3u8
你的回忆有我吗,http://45.192.97.170:8880/play/412.m3u8
电影百团大战,http://45.192.97.170:8880/play/413.m3u8
最美的青春,http://45.192.97.170:8880/play/414.m3u8
动作大片-热血开打,http://45.192.97.170:8880/play/415.m3u8
强悍“杀猪婆”的励志人生,http://45.192.97.170:8880/play/416.m3u8
康熙王朝,http://45.192.97.170:8880/play/417.m3u8
YY用户,http://45.192.97.170:8880/play/418.m3u8
父母爱情,http://45.192.97.170:8880/play/419.m3u8
海洋幻梦-泰剧,http://45.192.97.170:8880/play/420.m3u8
刑事侦缉档案I,http://45.192.97.170:8880/play/421.m3u8
陈情令,http://45.192.97.170:8880/play/422.m3u8
YY用户,http://45.192.97.170:8880/play/423.m3u8
YY用户,http://45.192.97.170:8880/play/424.m3u8
金玉满堂：精彩港剧,http://45.192.97.170:8880/play/425.m3u8
超英集结,http://45.192.97.170:8880/play/426.m3u8
国外院线动作大片,http://45.192.97.170:8880/play/427.m3u8
香港院线大片-最新,http://45.192.97.170:8880/play/428.m3u8
粟裕大将-影视,http://45.192.97.170:8880/play/429.m3u8
YY用户,http://45.192.97.170:8880/play/430.m3u8
YY用户,http://45.192.97.170:8880/play/431.m3u8
老广的味道-美食之旅,http://45.192.97.170:8880/play/432.m3u8
辉煌或疯狂-韩剧,http://45.192.97.170:8880/play/433.m3u8
重生之超级赛亚人,http://45.192.97.170:8880/play/434.m3u8
编辑部的故事,http://45.192.97.170:8880/play/435.m3u8
国内喜剧,http://45.192.97.170:8880/play/436.m3u8
笑傲江湖 第2季,http://45.192.97.170:8880/play/437.m3u8
魔幻手机,http://45.192.97.170:8880/play/438.m3u8
叛逆者,http://45.192.97.170:8880/play/439.m3u8
保护我家蓉儿,http://45.192.97.170:8880/play/440.m3u8
欢乐集结号,http://45.192.97.170:8880/play/441.m3u8
无厘头的出处,http://45.192.97.170:8880/play/442.m3u8
人生必看的科幻片,http://45.192.97.170:8880/play/443.m3u8
美国队长史蒂夫,http://45.192.97.170:8880/play/444.m3u8
小朋友可爱到家了,http://45.192.97.170:8880/play/445.m3u8
岳云鹏宋小宝也来演电影了？,http://45.192.97.170:8880/play/446.m3u8
国产大片电影,http://45.192.97.170:8880/play/447.m3u8
侏罗纪世界-国外科幻大片合集,http://45.192.97.170:8880/play/448.m3u8
港剧-警犬巴打,http://45.192.97.170:8880/play/449.m3u8
我爱我家,http://45.192.97.170:8880/play/450.m3u8
高分科幻动作片,http://45.192.97.170:8880/play/451.m3u8
YY用户,http://45.192.97.170:8880/play/452.m3u8
回家的诱惑,http://45.192.97.170:8880/play/453.m3u8
陪你一起看好剧,http://45.192.97.170:8880/play/454.m3u8
法证先锋,http://45.192.97.170:8880/play/455.m3u8
